Thread: 861 -- LS: (A = 27, B = 13) -- [A(0, 0) = (4, 2) = (4, 2) = B(2, 15)]
Thread: 1222 -- LS: (A = 72, B = 14) -- [A(0, 0) = (11, 13) = (11, 13) = B(1, 5)]
Thread: 3025 -- LS: (A = 58, B = 33) -- [A(0, 0) = (6, 1) = (6, 1) = B(1, 9)]
Thread: 3028 -- LS: (A = 58, B = 36) -- [A(0, 0) = (6, 15) = (6, 15) = B(1, 9)]
Thread: 52 -- LS: (A = 6, B = 4) -- [A(0, 0) = (14, 0) = (14, 0) = B(2, 10)]
Thread: 2934 -- LS: (A = 46, B = 38) -- [A(0, 0) = (14, 5) = (14, 5) = B(1, 5)]
Thread: 3745 -- LS: (A = 68, B = 41) -- [A(0, 0) = (10, 13) = (10, 13) = B(3, 4)]
Thread: 2537 -- LS: (A = 77, B = 25) -- [A(0, 0) = (14, 2) = (14, 2) = B(1, 7)]
Thread: 950 -- LS: (A = 38, B = 14) -- [A(0, 0) = (5, 13) = (5, 13) = B(1, 5)]
Thread: 452 -- LS: (A = 56, B = 4) -- [A(0, 0) = (6, 0) = (6, 0) = B(1, 4)]
Thread: 1014 -- LS: (A = 46, B = 14) -- [A(0, 0) = (14, 13) = (14, 13) = B(1, 5)]
Thread: 1736 -- LS: (A = 57, B = 16) -- [A(0, 0) = (0, 15) = (0, 15) = B(1, 5)]
Thread: 1742 -- LS: (A = 57, B = 22) -- [A(0, 0) = (0, 8) = (0, 8) = B(1, 5)]
Thread: 1584 -- LS: (A = 38, B = 16) -- [A(0, 0) = (5, 15) = (5, 15) = B(1, 5)]
Thread: 1590 -- LS: (A = 38, B = 22) -- [A(0, 0) = (5, 8) = (5, 8) = B(1, 5)]
Thread: 6370 -- LS: (A = 76, B = 74) -- [A(0, 0) = (1, 5) = (1, 5) = B(2, 14)]
Thread: 793 -- LS: (A = 19, B = 9) -- [A(0, 0) = (13, 5) = (13, 5) = B(3, 6)]
Thread: 1520 -- LS: (A = 30, B = 16) -- [A(0, 0) = (12, 15) = (12, 15) = B(1, 5)]
Thread: 1526 -- LS: (A = 30, B = 22) -- [A(0, 0) = (12, 8) = (12, 8) = B(1, 5)]
Thread: 4404 -- LS: (A = 70, B = 52) -- [A(0, 0) = (14, 11) = (14, 11) = B(1, 14)]
Thread: 4406 -- LS: (A = 70, B = 54) -- [A(0, 0) = (14, 13) = (14, 13) = B(1, 14)]
Thread: 2982 -- LS: (A = 52, B = 38) -- [A(0, 0) = (11, 5) = (11, 5) = B(3, 7)]
Thread: 1914 -- LS: (A = 79, B = 18) -- [A(0, 0) = (1, 2) = (1, 2) = B(1, 8)]
Thread: 234 -- LS: (A = 29, B = 2) -- [A(0, 0) = (1, 7) = (1, 7) = B(3, 1)]
Thread: 1149 -- LS: (A = 63, B = 13) -- [A(0, 0) = (15, 2) = (15, 2) = B(1, 3)]
Thread: 809 -- LS: (A = 21, B = 9) -- [A(0, 0) = (4, 5) = (4, 5) = B(1, 4)]
Thread: 815 -- LS: (A = 21, B = 15) -- [A(0, 0) = (4, 7) = (4, 7) = B(1, 4)]
Thread: 1779 -- LS: (A = 62, B = 19) -- [A(0, 0) = (1, 13) = (1, 13) = B(3, 6)]
Thread: 3067 -- LS: (A = 63, B = 35) -- [A(0, 0) = (15, 15) = (15, 15) = B(1, 3)]
Thread: 1194 -- LS: (A = 69, B = 10) -- [A(0, 0) = (9, 9) = (9, 9) = B(2, 9)]
Thread: 2387 -- LS: (A = 58, B = 27) -- [A(0, 0) = (6, 4) = (6, 4) = B(1, 9)]
Thread: 913 -- LS: (A = 34, B = 9) -- [A(0, 0) = (6, 5) = (6, 5) = B(1, 4)]
Thread: 919 -- LS: (A = 34, B = 15) -- [A(0, 0) = (6, 7) = (6, 7) = B(1, 4)]
Thread: 5690 -- LS: (A = 71, B = 66) -- [A(0, 0) = (8, 9) = (8, 9) = B(2, 10)]
Thread: 300 -- LS: (A = 37, B = 4) -- [A(0, 0) = (10, 0) = (10, 0) = B(1, 4)]
Thread: 3839 -- LS: (A = 79, B = 47) -- [A(0, 0) = (1, 2) = (1, 2) = B(3, 2)]
Thread: 81 -- LS: (A = 10, B = 1) -- [A(0, 0) = (9, 7) = (9, 7) = B(1, 15)]
Thread: 83 -- LS: (A = 10, B = 3) -- [A(0, 0) = (9, 14) = (9, 14) = B(1, 15)]
